session_id,timestamp,symbol,price,bue,delta,signal,value_estimate,action,pnl,close_reason,equity
20250608_002948,2025-06-08 00:33:41,LTC,89.23,88.86445122,-0.4096702678471338,HOLD,19.918065946430573,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,WETH,2518.32,2509.20094159,-0.36210880309094867,HOLD,19.927578239381813,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,DOT,4.04,4.05005796,0.24895940594059762,HOLD,20.04979188118812,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:41,WETH,2518.32,2514.52987281,-0.15050220742399778,HOLD,19.969899558515202,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,WEETH,2693.65,2686.07023375,-0.2813938800512286,HOLD,19.943721223989755,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,XMR,326.45,326.08432203,-0.11201653239392828,HOLD,19.977596693521214,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:41,WEETH,2693.65,2682.4480015,-0.4158668906502393,HOLD,19.91682662186995,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:41,DOT,4.04,4.01683596,-0.5733673267326773,HOLD,19.885326534653466,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:41,BSC-USD,0.998606,0.99532409,-0.3286491368968341,HOLD,19.934270172620636,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:36,BTC,105590.0,105590.0,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:36,ETH,2520.29,2520.29,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:36,USDT,1.0,1.0,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:36,XRP,2.18,2.18,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:36,BNB,652.22,652.22,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:36,SOL,151.22,151.22,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:36,USDC,0.99978,0.99978,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:36,DOGE,0.186086,0.186086,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:36,TRX,0.280867,0.280867,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,ADA,0.665243,0.665243,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,STETH,2520.96,2520.96,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,WBTC,105354.0,105354.0,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,HYPE,34.78,34.78,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,SUI,3.24,3.24,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,WSTETH,3035.27,3035.27,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,LINK,13.92,13.92,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,AVAX,20.9,20.9,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,LEO,9.17,9.17,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,XLM,0.267268,0.267268,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,BCH,410.76,410.76,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,TON,3.19,3.19,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,SHIB,1.279e-05,1.279e-05,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,HBAR,0.170133,0.170133,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,USDS,0.999669,0.999669,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,LTC,89.23,89.23,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,WETH,2518.32,2518.32,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:37,WEETH,2693.65,2693.65,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,DOT,4.04,4.04,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,XMR,326.45,326.45,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,BSC-USD,0.998606,0.998606,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,USDE,1.001,1.001,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,BGB,4.68,4.68,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,PEPE,1.147e-05,1.147e-05,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,CBBTC,105494.0,105494.0,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,PI,0.625115,0.625115,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,WBT,31.51,31.51,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,AAVE,259.11,259.11,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,UNI,6.3,6.3,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,DAI,0.99947,0.99947,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,SUSDE,1.18,1.18,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,TAO,381.8,381.8,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,OKB,52.18,52.18,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,APT,4.73,4.73,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,NEAR,2.44,2.44,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:38,CRO,0.097595,0.097595,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:39,BUIDL,1.0,1.0,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:39,ICP,5.15,5.15,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:39,JITOSOL,182.19,182.19,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:39,ETC,17.3,17.3,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:34:39,ONDO,0.830489,0.830489,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:35:06,BTC,105585.0,105585.0,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:35:06,ETH,2520.12,2520.12,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:35:06,USDT,1.0,1.0,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:35:06,XRP,2.18,2.18,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:35:06,BNB,652.22,652.22,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:35:06,SOL,151.19,151.19,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:35:06,USDC,0.999803,0.999803,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:35:06,DOGE,0.185837,0.185837,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
20250608_003436,2025-06-08 00:35:06,TRX,0.280864,0.280864,0.0,HOLD,20.0,SCAN,0,N/A,1000.0
